Group Name,Scoring Criteria,Achieved Score,Comments/Feedback
GC10,Video Assessment,15.0,"The video presentation gives us a good look at the Unity-based system, showcasing the airplane navigating the 3D environment. The screen recording is clear, which is helpful. However, the demonstration is noticeably affected by some robustness and visual glitches within the Unity scene. For example, the abrupt appearance and disappearance of black blocks, and potential collision or rendering issues, do impact the overall polish. While I appreciate that voice-over and smooth transitions were intended to enhance the presentation, these visual fidelity issues do detract from the final result."
GC10,Coding Assessment,0,"The code structure appears a bit unclear at this stage, with a large number of files that could benefit from better organization."
GC10,XR/Game App Overview,8.0,"This submission provides a clear and consistent overview of your gamified AR wayfinding application. I appreciate how you've connected the unique ""flying plane"" design concept to the system's goal of helping users navigate the campus, and you've effectively detailed its core functionalities and target audience."
GC10,XR/Game Dev Process,6.0,"The documentation outlines a reasonable iterative development process, with distinct stages from initial concept to testing and documentation. While I see that you've used tools like Unity and AR Foundation, the description could benefit from more concrete examples of how these practices were applied and integrated during implementation. Also, the mention of version control is currently quite brief."
GC10,Demo of Individual Element/Levels,15.0,"The documentation clearly defines and details many key components of your XR/Game application. This includes the AR environment setup, the plane model integration, the custom movement mechanics, the target and navigation system (with specific script functionalities), and the user interface elements. It's helpful how you explain how these individual components are designed to integrate and function together within the application's intended high-fidelity prototype."
GC10,Testing,7.0,"The documentation presents a good overview of your testing procedures, including structured unit testing for key scripts, integration testing for component interactions, and user acceptance testing conducted by peers. The identification of specific issues during testing shows a practical application of these procedures."
GC10,Asset Register,4.0,"The asset register is well-organized, categorizing key assets like 3D models, UI elements, and custom scripts. You've accurately identified their sources (e.g., Unity Asset Store, self-created) and included license information where relevant, demonstrating a mostly complete approach to asset documentation."
GC10,TOTAL SCORE,55.0,Overall assessment total: 55.0 points
,,,
GC1,Video Assessment,20.9,"The video you've put together offers a really comprehensive look at your Augmented Reality game system. It's great to see how clearly you've showcased the different functionalities, from the main menu with player stats to the in-game AR interactions like object placement using QR codes, combat, and exploration. The inclusion of minigames, like the tile puzzle, the reward system, and the pause menu with settings really rounds it out. The system seems quite robust, with dynamic stat updates and clear UI elements. Assuming the final version includes professional voice-over and sound, and considering the focus on smooth transitions, the video demonstrates a high-quality system with a well-thought-out structure and flow."
GC1,Coding Assessment,10.0,"Your code demonstrates a good level of modularity, with a clear separation of concerns across the various classes like PlayerStats, ShopManager, and PuzzleManager. I particularly appreciate your use of the singleton pattern, event-driven communication, and ScriptableObject for data management with Shop_Item_Data; these are strong choices that promote a robust and extensible architecture. It's also good to see Unity-specific patterns like [Header] and [SerializeField] used effectively for editor organization. Your commenting is generally helpful, with many methods and classes benefiting from XML documentation comments, and some inline comments explaining your intentions or future work. To take it to the next level, consider addressing the minor naming inconsistency, like ensuring class names such as `health` follow PascalCase conventions (e.g., `Health`), resolving the self-acknowledged technical debt with `imageTrackingToggle`, and fixing the bug in `PlayerStats.SaveStats()` where `EQUIPPED_ITEMS_KEY` is incorrectly set."
GC1,XR/Game App Overview,7.5,"The documentation you've provided gives an excellent and thorough overview of the 'Nav n' Defend' AR game. You've clearly articulated the core concept, system goals, and how it aligns with the project's objective of gamified wayfinding on campus. It's effective how you've mapped the design choices to these aims, showcasing a well-conceived application."
GC1,XR/Game Dev Process,7.5,"The documentation offers excellent and detailed examples of the development processes you applied. It's clear you took a strong iterative approach to design and implementation. You've articulated well how various stages, from ideation to prototyping, informed and refined the final high-fidelity prototype, showcasing a robust and well-managed development lifecycle."
GC1,Demo of Individual Element/Levels,15.1,"The documentation offers an excellent description of how you've integrated individual elements and levels within the 'Nav n' Defend' application. You've thoroughly explained the functionality of key components such as AR object placement via QR codes, combat mechanics, the minigame (tile puzzle), and the reward system. It's great to see how you've illustrated their design and how they seamlessly interact within the overall user experience, which really complements the video demonstration."
GC1,Testing,6.7,"The documentation presents good evidence of verification and validation through functional self-testing. You've outlined test cases for core functionalities, demonstrating a systematic approach to ensuring the prototype's stability and robustness. While some minor issues were noted in the code review, the testing process was effective in identifying and addressing many potential problems, which is a valuable outcome."
GC1,Asset Register,4.2,"The asset register you've provided in the Excel file is excellent – comprehensive and well-organized. It accurately lists all project assets, including their sources, types, and licensing information, demonstrating thorough attention to detail in asset management."
GC1,TOTAL SCORE,71.9,Overall assessment total: 71.9 points
,,,
GC2,Video Assessment,22.6,"The video offers a professional and well-organized demonstration of your 'Marker Based Navigator' system. I particularly appreciated the clear section titles, starting with a solid overview and moving into the specifics of the marker design. The live demonstrations of both standard and accessible navigation, showing the physical marker scanning and AR overlays, really highlight a functional and robust system. The inclusion and clear explanation of the 'Badges' feature further showcase a comprehensive implementation with added functionality. Overall, the structure, clear visuals, and evident demonstration of a well-implemented system make for an excellent and professional video."
GC2,Coding Assessment,12.6,"The code exhibits excellent structure and modularity, with a clear separation of concerns across the various Unity scripts. Your use of XML documentation comments for classes, fields, and public methods is extensive and greatly aids readability and maintainability. I also noticed the consistent use of `[Tooltip]` attributes for serialized fields, which enhances usability within the Unity Editor. Naming conventions are consistently applied (e.g., `m_` prefix for private fields). The code effectively utilizes Unity-specific features, event handling, and conditional compilation. While there are a few minor areas for refinement (e.g., some hardcoded dictionary keys, reliance on deprecated APIs in certain scripts), the overall quality is very high, demonstrating a strong grasp of C# and Unity best practices."
GC2,XR/Game App Overview,9.0,"The documentation provides an excellent and thorough overview of the 'Marker Based Navigator' system. You've clearly articulated the project's objectives, identified your target user personas, presented a high-level system architecture, and detailed the key features, all within the context of supporting campus wayfinding. This section effectively connects the design to the overall system goals and aims, providing a strong foundation for understanding the project."
GC2,XR/Game Dev Process,9.0,"The development process is detailed excellently, showing a strong commitment to an iterative and agile methodology. The documentation offers specific examples of user-centered design, modular component development, and the use of version control. The 'Challenges & Solutions' section is particularly insightful, offering clear explanations of how issues like AR tracking stability and performance optimization were addressed through applied processes, demonstrating a mature and reflective approach to development."
GC2,Demo of Individual Element/Levels,18.1,"The documentation provides an excellent and comprehensive walkthrough of each core feature, including Marker-Based Navigation, Accessible Navigation, and the Badges system. Each element is described in detail with clear explanations of its functionality, how it integrates with the overall application, and supporting screenshots. This section effectively demonstrates the individual components' contributions and their seamless integration into a robust and cohesive AR wayfinding system, mirroring the high quality we saw in the video demonstration."
